param n:=5;					
param nv1:=5;					
param nv2:=5;					
param m1:=3;					
param m2:=2;					
param P1 :=					
1	1				
2	6				
3	5				
4	2				
5	3				
;					
param P2 :=					
1	8				
2	10				
3	7
4	9
5	3				
; 					
param r :=					
1	6				
2	8				
3	5
4	8				
5	4								
;					
param W :=					
1	50				
2	30				
3	30				
4	50				
5	30				
; 					
param D :=					
1	6				
2	2				
3	35				
4	15				
5	20				
;					
					
param S : 1 2 3 4 5:= 					
1	0	1	0	0	0	
2	1	0	1	1	0	
3	0	0	0	1	0	
4	0	1	0	1	1	
5	0	0	1	0	0	
;

param V : 1 2 3 4 5:= 					
1	0	1	0	0	0	
2	0	0	1	0	0	
3	0	0	0	1	0	
4	0	0	0	0	1	
5	1	0	0	0	0
;						
end;					
